-0,1766808
-0,5760399
-0,2820126
-0,05570525
0,6616595
0,8965029
-0,7969725
-0,8300911
0,4476292
0,9750512
-0,6552144
0,4799819
0,7263949
0,01457655
-0,3310661
0,0936383
0,02970386
0,09606361
0,8341022
0,4913684
0,8862104
0,9838016
-0,9815621
0,8763993
0,5666847
-0,5859896
-0,7752228
0,6069304
-0,3388082
-0,9206379
0,3795731
0,9477757
0,5562713
0,4015095
0,3348228
-8,612871E-05
-0,8918043
0,5064867
0,550088
0,6506448
0,4502048
-0,6298288
0,5780612
-0,9037571
0,4067664
-0,2957808
0,1340151
-0,8303267
-0,3106514
-0,4673687
-0,5487485
-0,6855243
-0,2772799
-0,2202772
0,2163875
-0,1604825
-0,5944778
-0,158412
0,37761
0,2476492
0,6717257
-0,4039029
0,5087171
0,3682671
-0,404522
-0,6029902
0,9237106
-0,6751147
0,6797538
0,6690201
-0,01455742
0,5232173
0,5459757
-0,8165426
-0,9588364
0,5160393
-0,5942596
0,922195
-0,5303671
-0,1375345
0,2799953
-0,9448962
-0,08241826
-0,8714395
0,6281105
0,06509745
0,2250556
-0,2234516
-0,8148779
-0,5046948
-0,4056084
0,2666076
-0,8711234
-0,6975611
0,978919
-0,1458923
-0,1385458
-0,7902058
0,500765
0,009756684
-0,2194914
-0,1908703
-0,5100805
0,02032864
0,5471888
-0,07196575
-0,2314999
-0,4607372
-0,2614408
0,7003483
-0,5662229
-0,5166727
-0,6280448
-0,4848555
0,9676539
0,6166219
0,6785154
0,3801566
0,7401565
0,5303806
0,1719542
0,1471622
-0,8602368
0,1844485
0,07462847
0,7188349
0,3943406
0,2435368
-0,7954617
0,1870558
-0,345415
-0,8040537
-0,5785699
0,4598763
-0,9180431
-0,5291344
0,5651844
0,8972532
-0,4186283
-0,2999237
